Timestamp,CPU_Usage(%),Memory_Usage(%),Net_Sent(Bytes),Net_Recv(Bytes),Disk_Read(Bytes),Disk_Write(Bytes),Battery_Percent
15:20:31,0.0,69.5,0,0,0,0,58
15:20:36,12.1,68.5,33792,25600,5939200,2449408,58
15:20:41,6.9,68.8,49152,51200,958464,1957888,58
15:20:46,7.6,68.2,62464,67584,356352,1040384,58
15:20:51,5.6,67.9,45056,18432,4096,991232,58
15:20:56,11.1,68.0,32768,20480,7184384,5050368,58
15:21:01,5.4,67.9,25600,20480,884736,1945600,58
15:21:06,8.7,68.1,27648,23552,364544,1232896,58
15:21:11,5.5,68.7,34816,38912,159744,1175552,58
15:21:16,7.8,68.7,62464,60416,610304,2424832,58
15:21:21,6.5,68.7,56320,54272,270336,1105920,58
15:21:26,6.1,68.1,35840,31744,167936,7569408,58
15:21:31,9.9,68.2,124928,178176,3059712,1028096,58
15:21:36,10.9,68.3,43008,43008,3264512,3522560,58
15:21:41,9.7,68.2,39936,48128,577536,1146880,58
15:21:46,7.2,68.2,61440,63488,212992,1064960,58
15:21:51,6.7,68.0,41984,15360,303104,1200128,58
15:21:56,10.1,67.8,39936,25600,13185024,5636096,58
15:22:01,4.6,67.7,23552,20480,557056,1019904,58
15:22:06,5.6,67.8,23552,19456,24576,1216512,58
15:22:11,5.6,67.7,21504,18432,159744,126976,58
15:22:16,5.7,67.8,32768,29696,552960,3117056,58
15:22:21,5.7,67.5,46080,51200,0,1019904,58
15:22:26,6.2,67.5,57344,34816,98304,4792320,58
15:22:32,8.4,67.8,120832,160768,241664,1515520,58
15:22:37,7.6,67.7,29696,23552,3608576,2207744,58
15:22:42,8.2,67.7,26624,26624,212992,1495040,58
15:22:47,6.6,67.7,54272,59392,200704,2289664,58
15:22:52,5.5,67.4,51200,28672,16613376,2191360,58
15:22:57,8.4,67.5,37888,23552,884736,4702208,58
15:23:02,5.8,67.4,24576,20480,167936,1007616,58
15:23:07,6.2,67.7,27648,26624,274432,2097152,58
15:23:12,5.4,67.6,44032,18432,32768,1073152,58
15:23:17,6.0,67.7,28672,23552,180224,3022848,58
15:23:22,5.3,67.5,34816,25600,65536,1806336,58
15:23:27,5.7,67.6,30720,25600,278528,3469312,58
15:23:32,7.5,67.7,100352,138240,585728,954368,58
15:23:37,5.7,67.6,51200,24576,520192,1654784,58
15:23:42,9.3,67.6,25600,24576,524288,2732032,58
15:23:47,6.6,67.6,58368,61440,188416,1126400,58
15:23:52,5.2,67.3,19456,15360,180224,1216512,58
15:23:57,6.7,67.3,33792,23552,1024000,4124672,58
15:24:02,6.0,67.2,25600,20480,2469888,2007040,58
15:24:07,7.0,67.6,51200,47104,4190208,2478080,58
15:24:12,5.5,68.0,26624,22528,180224,1531904,58
15:24:17,5.6,68.0,33792,45056,212992,2969600,58
15:24:22,5.7,67.3,48128,19456,16384,1183744,58
15:24:27,7.2,67.3,61440,44032,147456,4890624,58
15:24:32,11.9,67.5,470016,541696,1482752,2048000,58
15:24:37,6.7,67.5,73728,44032,180224,1122304,58
15:24:42,9.5,67.2,154624,208896,2875392,2543616,58
15:24:47,8.7,67.6,190464,248832,208896,2977792,58
15:24:52,5.7,67.2,63488,72704,401408,1593344,58
15:24:57,6.3,67.0,35840,24576,442368,3620864,58
15:25:02,6.4,66.6,90112,81920,2203648,2064384,58
15:25:07,6.4,67.5,30720,25600,151552,1118208,58
15:25:12,5.7,67.2,38912,37888,8192,1650688,58
15:25:17,5.5,66.9,54272,29696,65536,2535424,58
15:25:22,6.2,66.6,62464,25600,73728,1175552,58
15:25:27,6.5,66.5,31744,27648,131072,4423680,58
15:25:32,8.7,67.0,92160,111616,2097152,1036288,58
15:25:37,5.5,67.0,36864,24576,94208,1019904,58
15:25:42,8.3,67.0,38912,48128,1179648,3547136,58
15:25:47,6.5,67.0,73728,84992,81920,1007616,58
15:25:52,6.1,66.8,23552,22528,262144,991232,58
15:25:57,6.3,66.8,32768,19456,131072,5095424,58
15:26:02,6.0,66.9,26624,20480,7409664,8921088,58
15:26:07,13.9,67.1,25600,21504,15065088,62144512,58
15:26:12,6.3,67.1,21504,19456,593920,1871872,58
15:26:17,6.3,67.1,54272,53248,290816,3203072,58
15:26:22,6.1,67.5,66560,49152,167936,1998848,58
15:26:27,12.7,67.7,81920,88064,9482240,4448256,58
15:26:32,9.8,66.7,143360,175104,925696,2048000,58
15:26:37,6.7,66.4,33792,23552,36864,991232,58
15:26:42,7.7,66.4,30720,26624,1359872,2584576,58
15:26:47,6.3,66.5,63488,56320,114688,1982464,58
15:26:52,5.4,66.5,28672,20480,0,991232,58
15:26:57,8.3,66.5,45056,40960,4005888,6127616,58
15:27:02,6.7,66.4,48128,279552,3239936,1794048,58
15:27:07,6.5,66.7,56320,37888,229376,1241088,58
15:27:12,4.6,66.7,27648,22528,270336,1609728,58
15:27:17,5.5,66.7,34816,22528,196608,1081344,58
15:27:22,5.1,66.6,40960,30720,286720,1024000,58
15:27:27,5.8,66.4,20480,15360,413696,5390336,58
15:27:32,8.6,66.8,116736,144384,589824,1101824,58
15:27:37,5.6,66.7,19456,34816,290816,991232,58
15:27:42,7.9,66.8,44032,40960,4096,2613248,58
15:27:47,5.7,66.8,38912,41984,0,1003520,58
15:27:52,5.7,66.6,32768,29696,602112,2482176,58
15:27:57,6.4,66.6,64512,46080,446464,5627904,58
15:28:02,6.2,66.5,56320,26624,98304,1818624,58
15:28:07,6.8,66.8,45056,60416,49152,1728512,58
15:28:12,6.5,66.8,32768,28672,0,1073152,58
15:28:17,5.5,66.8,23552,19456,16384,2084864,58
15:28:22,4.3,67.0,67584,33792,159744,983040,58
15:28:27,6.3,66.3,72704,60416,163840,5169152,58
15:28:32,8.4,67.5,196608,172032,135168,1085440,58
15:28:37,5.3,66.8,26624,16384,0,1003520,58
15:28:42,8.0,66.8,38912,38912,4096,2633728,58
15:28:47,5.9,66.8,43008,45056,0,2203648,58
15:28:52,5.1,66.6,24576,19456,49152,1089536,58
15:28:57,6.5,66.4,35840,23552,2560000,4472832,58
15:29:02,6.1,66.9,32768,29696,770048,1064960,58
15:29:07,6.6,66.9,26624,24576,12288,1183744,58
15:29:12,4.9,66.8,23552,19456,0,1101824,58
15:29:17,5.6,66.8,46080,19456,0,1642496,58
15:29:22,5.4,67.3,45056,29696,0,991232,58
15:29:27,6.2,66.5,43008,55296,9306112,5410816,58
15:29:32,17.4,67.9,296960,403456,20226048,3002368,58
15:29:37,8.1,66.9,51200,71680,880640,3461120,58
15:29:42,12.9,67.2,169984,188416,5554176,3506176,58
15:29:47,10.2,67.1,224256,256000,18857984,2641920,58
15:29:52,5.6,66.5,48128,55296,45056,1048576,58
15:29:57,18.0,68.8,35840,21504,1966080,6836224,58
15:30:02,19.1,68.2,34816,28672,4227072,2736128,58
15:30:07,28.8,68.1,41984,44032,11087872,3645440,58
15:30:12,14.2,67.7,32768,26624,376832,1413120,58
15:30:17,7.6,67.9,27648,20480,16384,1130496,58
15:30:22,6.6,67.9,38912,28672,4096,1019904,58
15:30:27,6.0,67.0,38912,24576,225280,7221248,58
15:30:32,8.2,67.3,133120,155648,544768,94208,58
15:30:37,7.1,67.3,44032,19456,389120,974848,58
15:30:42,10.2,67.6,58368,57344,5529600,3760128,58
15:30:47,8.5,67.7,58368,40960,32768,1499136,58
15:30:52,7.0,67.2,51200,24576,16384,1019904,58
15:30:57,7.3,66.8,18432,14336,262144,4710400,58
15:31:02,6.7,66.7,26624,23552,32768,2449408,58
15:31:07,6.7,66.7,56320,43008,98304,1105920,58
15:31:12,6.0,66.7,22528,19456,245760,2322432,58
15:31:17,7.5,67.3,19456,16384,16384,1093632,58
15:31:22,6.3,67.4,61440,23552,122880,991232,58
15:31:27,8.0,67.1,48128,46080,270336,5025792,58
15:31:32,11.4,68.4,182272,254976,323584,1150976,58
15:31:37,5.5,67.6,22528,17408,32768,1716224,58
15:31:42,7.6,67.6,37888,39936,0,749568,58
15:31:47,9.0,67.3,38912,41984,65536,1892352,58
15:31:52,9.7,67.3,55296,25600,5140480,999424,57
15:31:57,10.2,67.0,33792,22528,3641344,6107136,57
15:32:02,7.4,66.9,37888,35840,2117632,2105344,57
15:32:07,8.4,66.9,21504,16384,0,1806336,57
15:32:12,6.2,67.0,40960,38912,212992,991232,57
15:32:17,6.9,67.2,37888,36864,32768,2203648,57
15:32:22,10.6,68.3,87040,69632,52207616,6356992,57
15:32:27,16.7,68.0,75776,30720,14422016,16138240,57
15:32:32,9.8,67.6,120832,156672,3203072,3485696,57
15:32:37,17.7,67.8,54272,18432,40308736,3276800,57
15:32:42,7.1,67.6,35840,38912,499712,5652480,57
15:32:47,10.0,67.5,41984,43008,1507328,1585152,57
15:32:52,8.2,67.6,57344,30720,6983680,2306048,57
15:32:57,13.0,67.9,57344,23552,30498816,13557760,57
15:33:02,15.8,67.3,58368,81920,11956224,4988928,57
15:33:07,16.7,67.8,41984,31744,6111232,10072064,57
15:33:12,15.4,68.1,45056,37888,7634944,12382208,57
15:33:17,15.3,67.6,30720,22528,55488512,9879552,57
15:33:22,17.3,67.6,40960,25600,43335680,13762560,57
15:33:27,16.3,67.9,24576,19456,5566464,13225984,57
15:33:32,16.4,67.9,110592,113664,9637888,5144576,57
15:33:37,9.0,67.4,27648,22528,1708032,17797120,57
15:33:42,9.5,67.9,36864,40960,3858432,851968,57
15:33:47,20.8,68.1,62464,50176,45309952,11427840,57
15:33:53,13.0,67.4,59392,61440,4628480,6643712,57
15:33:58,15.4,67.6,35840,18432,5931008,10309632,57
15:34:03,11.3,67.4,49152,35840,4423680,1826816,57
15:34:08,17.6,67.3,53248,39936,41058304,14094336,57
15:34:13,13.9,67.5,82944,31744,1777664,8777728,57
15:34:18,17.3,67.5,51200,30720,2195456,10096640,57
15:34:23,14.8,67.8,67584,31744,1634304,7266304,57
15:34:28,13.3,67.3,79872,71680,2220032,23048192,57
15:34:33,18.7,68.2,393216,513024,1814528,11218944,57
15:34:38,7.6,67.3,38912,44032,184320,4497408,57
15:34:43,5.3,67.0,103424,123904,57344,368640,57
15:34:48,10.6,67.4,150528,182272,1392640,2777088,57
15:34:53,7.5,67.2,60416,70656,1196032,2203648,57
15:34:58,6.7,67.1,35840,24576,172032,5779456,57
15:35:03,7.1,67.1,28672,40960,1908736,2088960,57
15:35:08,6.5,66.8,43008,30720,131072,1130496,57
15:35:13,6.4,66.6,30720,25600,94208,1540096,57
15:35:18,7.0,67.4,45056,47104,24576,2203648,57
15:35:23,6.6,67.1,65536,47104,40960,1019904,57
15:35:28,5.8,67.2,41984,30720,98304,4444160,57
15:35:33,8.0,67.2,210944,166912,532480,1318912,57
15:35:38,7.0,67.3,22528,17408,143360,888832,57
15:35:43,6.4,67.4,46080,47104,65536,1032192,57
15:35:48,9.1,67.2,70656,81920,86016,2482176,57
15:35:53,7.1,67.1,27648,26624,147456,1232896,57
15:35:58,9.3,67.0,57344,25600,253952,4534272,57
15:36:03,7.5,66.9,47104,30720,0,1921024,57
15:36:08,6.5,66.9,20480,18432,16384,1011712,57
15:36:13,6.6,66.9,24576,18432,20480,1019904,56
15:36:18,7.1,66.8,60416,38912,196608,1572864,56
15:36:23,8.1,67.3,50176,44032,20480,1318912,56
15:36:28,6.6,67.3,40960,27648,102400,4632576,56
15:36:33,10.8,68.0,161792,217088,626688,1638400,56
15:36:38,10.5,67.1,21504,20480,1994752,1089536,56
15:36:43,5.3,66.8,40960,44032,98304,991232,56
15:36:48,9.1,66.6,41984,41984,1327104,1630208,56
15:36:53,6.1,66.5,22528,18432,49152,1708032,56
15:36:58,8.3,66.4,45056,38912,114688,4268032,56
15:37:03,6.4,66.1,21504,19456,282624,1875968,56
15:37:08,6.2,66.3,63488,17408,20480,1130496,56
15:37:13,6.1,66.2,24576,20480,2191360,999424,56
15:37:18,10.0,66.2,33792,34816,864256,2084864,56
15:37:23,6.4,66.8,44032,25600,114688,2138112,56
15:37:28,6.7,66.8,27648,24576,266240,5132288,56
15:37:33,9.1,67.0,86016,101376,2314240,1036288,56
15:37:38,6.5,67.0,24576,15360,94208,1683456,56
15:37:43,7.5,67.1,41984,47104,1925120,2109440,56
15:37:48,8.5,67.1,65536,40960,0,2510848,56
15:37:53,6.4,66.5,33792,25600,1015808,1941504,56
15:37:58,8.0,66.8,35840,31744,65536,5419008,56
15:38:03,6.7,66.6,48128,48128,102400,2125824,56
15:38:08,7.7,67.0,62464,81920,24576,1159168,56
15:38:13,6.2,66.8,20480,20480,81920,1593344,56
15:38:18,6.6,66.8,30720,26624,1314816,991232,56
15:38:23,6.7,66.9,53248,18432,389120,2146304,56
15:38:28,6.3,66.9,46080,24576,16384,4878336,56
15:38:33,8.1,67.1,64512,18432,0,1253376,56
15:38:38,7.5,67.1,32768,13312,704512,1077248,56
15:38:43,6.8,67.1,26624,12288,1888256,1634304,56
15:38:48,26.1,67.7,98304,72704,41209856,18165760,56
15:38:53,35.1,68.2,32768,31744,47386624,46297088,56
15:38:58,15.0,67.8,30720,29696,5758976,34750464,56
15:39:03,7.8,67.0,29696,29696,724992,2068480,56
15:39:08,7.1,66.9,15360,14336,823296,1024000,56
15:39:13,7.2,67.4,14336,14336,2646016,987136,56
15:39:18,9.4,68.0,27648,27648,1159168,2998272,56
15:39:23,10.0,67.6,20480,20480,675840,1589248,56
15:39:28,7.4,67.5,24576,24576,4395008,14061568,56
15:39:33,9.6,67.7,23552,23552,8523776,1593344,56
15:39:38,8.5,67.7,20480,20480,2519040,176128,56
15:39:43,7.9,67.9,12288,12288,2969600,1548288,56
15:39:48,9.5,67.8,32768,32768,1552384,3776512,56
15:39:53,11.7,67.7,12288,12288,4079616,3301376,56
15:39:58,10.7,67.9,19456,19456,716800,11194368,56
15:40:03,10.2,67.7,9216,9216,434176,1056768,56
15:40:08,8.0,67.5,14336,14336,385024,987136,56
15:40:13,6.5,67.3,9216,9216,102400,1003520,56
15:40:18,6.6,67.4,18432,18432,348160,1634304,56
15:40:23,7.3,67.7,16384,15360,229376,2048000,56
