Timestamp,CPU_Usage(%),Memory_Usage(%),Net_Sent(Bytes),Net_Recv(Bytes),Disk_Read(Bytes),Disk_Write(Bytes),Battery_Percent
13:41:38,22.1,63.7,19388416,55171072,1294336,3051520,47
13:41:43,25.0,63.2,20560896,58685440,2207744,2592768,47
13:41:48,19.3,63.1,16562176,47431680,208896,1105920,47
13:41:53,20.9,63.8,19063808,54555648,917504,974848,47
13:41:58,20.6,63.1,17574912,49947648,880640,4403200,47
13:42:03,23.9,63.3,22742016,65037312,6381568,1368064,47
13:42:08,23.9,64.1,24296448,69454848,2367488,1179648,47
13:42:13,23.3,62.5,27148288,77744128,5640192,995328,47
13:42:18,27.6,62.6,28378112,81033216,4096000,1433600,46
13:42:23,23.8,63.5,25968640,74039296,1130496,315392,46
13:42:28,24.8,62.9,27714560,79435776,1589248,6615040,46
13:42:33,27.1,64.2,26767360,76201984,17809408,3637248,46
13:42:38,25.4,68.4,22218752,63341568,405504,1482752,46
13:42:43,49.5,57.5,24576,21504,11616256,4440064,46
13:42:48,42.8,55.9,22528,18432,4550656,1966080,46
13:42:53,8.5,56.6,36864,31744,5263360,2039808,46
13:42:58,12.4,56.0,66560,119808,4710400,10870784,46
13:43:03,8.6,55.8,53248,60416,2637824,1343488,46
13:43:08,9.1,56.9,89088,67584,2039808,1077248,46
13:43:13,8.0,55.1,30720,29696,942080,1007616,46
13:43:18,19.8,54.6,18404352,52564992,413696,1003520,46
13:43:23,22.6,55.6,22529024,64214016,1835008,974848,46
13:43:28,21.5,55.1,18304000,52220928,1626112,7868416,46
13:43:33,23.3,55.6,18659328,52845568,5996544,1146880,46
13:43:38,23.4,56.5,22897664,65470464,1802240,1871872,46
13:43:43,23.0,56.1,16778240,47911936,7725056,3018752,46
13:43:48,20.1,55.9,18123776,51459072,1589248,1089536,46
13:43:53,21.0,56.9,18564096,52984832,573440,1818624,46
13:43:58,20.3,56.5,17736704,50539520,3997696,6856704,46
13:44:03,22.9,56.1,19996672,57046016,1327104,2019328,46
13:44:08,18.3,57.0,14073856,40336384,3174400,1032192,46
13:44:13,15.7,56.0,12418048,35535872,761856,585728,46
13:44:18,18.6,55.5,15001600,42848256,81920,1323008,46
13:44:23,21.6,56.5,18186240,51926016,3985408,974848,46
13:44:28,26.3,56.4,20172800,57676800,8269824,8953856,46
13:44:33,27.8,58.6,19952640,56360960,19267584,1654784,46
13:44:38,28.5,58.4,21968896,62217216,17489920,3067904,46
13:44:43,23.2,58.9,9814016,27847680,3289088,3330048,46
13:44:48,25.7,57.8,18584576,52526080,4427776,2244608,46
13:44:53,24.2,58.7,17040384,48497664,868352,2605056,46
13:44:58,19.3,57.7,14528512,41391104,2969600,6365184,46
13:45:03,21.6,59.7,21283840,61165568,4386816,2146304,46
13:45:08,32.7,60.4,26708992,76026880,15458304,2142208,46
13:45:13,22.6,63.3,20502528,58549248,483328,1957888,46
13:45:18,24.2,59.6,19487744,55711744,7491584,2228224,46
13:45:23,21.2,59.8,14621696,41800704,18616320,9482240,46
13:45:28,23.1,60.7,18922496,53692416,26849280,5230592,46
13:45:33,30.3,60.3,16572416,46884864,24440832,2760704,46
13:45:38,31.3,61.4,25910272,74339328,10342400,1208320,46
13:45:43,35.4,62.4,33313792,94948352,152342528,4968448,46
13:45:48,30.0,60.8,31020032,88130560,47554560,3002368,46
13:45:53,26.2,63.7,29132800,83316736,10362880,6225920,46
13:45:58,32.5,61.6,42440704,120864768,2064384,2117632,46
13:46:04,30.0,60.3,37911552,108412928,774144,1773568,46
13:46:09,27.7,61.5,30649344,87419904,282624,1482752,46
13:46:14,27.0,61.3,28555264,81456128,1986560,1003520,46
13:46:19,35.3,60.7,27250688,77703168,5824512,2650112,46
13:46:24,33.0,62.1,28088320,80119808,27037696,6012928,46
13:46:29,29.8,61.9,23631872,67432448,21569536,3698688,46
13:46:34,24.4,61.1,23214080,65753088,1896448,1138688,46
13:46:39,25.5,61.3,22880256,65473536,856064,1593344,46
13:46:44,27.0,61.3,20398080,57883648,2764800,2486272,45
13:46:49,30.4,61.5,21903360,62400512,4198400,5976064,45
13:46:54,30.9,62.1,22958080,65497088,3276800,7716864,45
13:46:59,35.0,63.2,23275520,66861056,33538048,1294336,45
13:47:04,24.5,62.0,24115200,68622336,1015808,1126400,45
13:47:09,31.7,63.5,23675904,67628032,31387648,2064384,45
